province,gdp_million_rupiah,inflation_yoy_percent
ACEH,976.0,976.0
SUMATERA UTARA,976.0,976.0
SUMATERA BARAT,976.0,976.0
RIAU,976.0,976.0
JAMBI,976.0,976.0
SUMATERA SELATAN,976.0,976.0
BENGKULU,976.0,976.0
LAMPUNG,976.0,976.0
KEPULAUAN BANGKA BELITUNG,976.0,976.0
KEPULAUAN RIAU,976.0,976.0
DKI JAKARTA,976.0,976.0
JAWA BARAT,976.0,976.0
JAWA TENGAH,976.0,976.0
DI YOGYAKARTA,976.0,976.0
JAWA TIMUR,976.0,976.0
BANTEN,976.0,976.0
BALI,976.0,976.0
NUSA TENGGARA BARAT,976.0,976.0
NUSA TENGGARA TIMUR,976.0,976.0
KALIMANTAN BARAT,976.0,976.0
KALIMANTAN TENGAH,976.0,976.0
KALIMANTAN SELATAN,976.0,976.0
KALIMANTAN TIMUR,976.0,976.0
KALIMANTAN UTARA,976.0,976.0
SULAWESI UTARA,976.0,976.0
SULAWESI TENGAH,976.0,976.0
SULAWESI SELATAN,976.0,976.0
SULAWESI TENGGARA,976.0,976.0
GORONTALO,976.0,976.0
SULAWESI BARAT,976.0,976.0
MALUKU,976.0,976.0
MALUKU UTARA,976.0,976.0
PAPUA BARAT,976.0,976.0
PAPUA,976.0,976.0
